school,conference,year,ticket_sales,student_fees,guarantees_revenue,contributions,third_party_support,direct_state_or_other_government_support,direct_institutional_support,indirect_facilities_and_administrative_support,ncaa_conference_distributions_including_all_tournament_revenues,broadcast_television_radio_and_internet_rights,program_sales_concessions_novelty_sales_and_parking,royalties_licensing_advertising_and_sponserships,total_operating_revenue
"University of Alabama, Tuscaloosa",Southeastern,2004,18035304,1541373,877460,21945072,367745,2626,30000,0,2419899,7596983,2717375,327000,59819035
"University of Alabama, Tuscaloosa",Southeastern,2014,37219343,0,115000,32196689,679544,0,5997100,0,23282201,13662940,104453,15471366,153234273
University of Arizona,Pac-10,2004,8206047,0,1303238,9420842,0,0,2759908,0,6897444,928101,288591,3127530,34853988
University of Arizona,Pac-12,2014,14931449,0,462171,44264977,1137550,0,6758419,1142715,22106806,0,1525972,6308525,99911034
Arizona State University,Pac-10,2004,6930599,560000,1367300,6579323,33467,1985211,3216103,1150000,7113978,0,1064307,2977831,34996041
Arizona State University,Pac-12,2014,12885134,0,1400000,13499765,421926,0,8541670,1531535,22958453,0,2099371,10148055,74729269
"University of Arkansas, Fayetteville",Southeastern,2004,22055757,0,713634,2971362,1412618,0,1334264,0,10646512,1350156,1276275,2091693,44284806
"University of Arkansas, Fayetteville",Southeastern,2014,34284318,0,364725,21276161,175000,0,1936405,0,21666355,0,2175763,11813916,96793972
Auburn University,Southeastern,2004,16193704,941958,1050000,13472102,711399,0,0,0,10277318,1550418,784418,714015,46829458
Auburn University,Southeastern,2014,29833441,4384800,38000,39409078,0,0,0,0,23410336,6357837,2171907,5275554,113716004
"University of California, Berkeley",Pac-10,2004,7133552,2012807,2720516,7636925,0,3650,3430543,0,7495910,102020,788196,2554490,38046563
"University of California, Berkeley",Pac-12,2014,14219724,1444374,43800,22693205,0,0,3537799,0,22593502,0,1325324,9468564,90262142
Clemson University,Atlantic Coast,2004,11796791,1280760,1399382,8690717,750000,0,477865,0,9891762,275500,1881284,1292253,40835150
Clemson University,Atlantic Coast,2014,19984515,0,254000,19264308,0,0,4375745,0,20425934,2690000,2069360,4777290,74793322
"University of Colorado, Boulder",Big 12,2004,13484720,1522145,560500,5889672,0,86480,2006537,0,7300184,757921,651727,2802028,36335486
"University of Colorado, Boulder",Pac-12,2014,12062260,1519708,60000,10500837,0,0,8931483,1758282,21461121,0,1309132,3996973,64226758
University of Florida,Southeastern,2004,12289168,2453896,1329074,27773651,450000,1263872,0,0,10732141,2613212,1618056,5951996,72735275
University of Florida,Southeastern,2014,22976195,2438135,720409,42962368,499100,1870307,0,0,20638137,8433500,1123419,9229339,124611305
Florida State University,Atlantic Coast,2004,12156777,4831189,1887683,3223450,0,0,0,0,11168432,325000,0,2177531,36156548
Florida State University,Atlantic Coast,2014,25550753,7980366,608107,22521553,0,0,0,0,20760441,360000,4500261,14873220,104774474
University of Georgia,Southeastern,2004,12050579,3045000,2366931,19873207,0,0,500000,0,10876173,2992775,614856,3375484,56822625
University of Georgia,Southeastern,2014,22472925,3274712,0,31866597,0,0,0,0,22225911,5669380,1673004,8560268,103495587
Georgia Institute of Technology,Atlantic Coast,2004,8942440,1936858,1531364,14660202,1278050,0,354780,0,9143143,666527,424903,39083,42366310
Georgia Institute of Technology,Atlantic Coast,2014,10900497,5073873,250000,17088864,0,0,2033904,0,19060758,3487303,1403202,4846584,68469538
"University of Illinois, Champaign",Big Ten,2004,11069883,2827893,317867,8576131,0,0,600000,0,7164498,6054765,1142322,3852608,45402300
"University of Illinois, Champaign",Big Ten,2014,17005685,3046935,14000,16909059,0,0,880437,0,29290831,1676715,1893918,5052695,80848569
"Indiana University, Bloomington",Big Ten,2004,9978219,0,598000,9478549,525000,0,266721,0,14007620,0,1378783,1515659,38247723
"Indiana University, Bloomington",Big Ten,2014,17029219,0,287040,16792186,279020,0,0,3008362,30073247,0,3088080,10519810,84668779
University of Iowa,Big Ten,2004,17638629,1401944,3149868,5714595,7000,0,2428298,0,12287315,1290400,1294269,3231316,53428033
University of Iowa,Big Ten,2014,25890094,683917,293407,30356325,450000,0,0,0,28960390,1500000,2029689,8592992,105958954
Iowa State University,Big 12,2004,9056221,1097684,152681,4551753,0,0,2544403,0,6399232,7497,271376,2155275,27074913
Iowa State University,Big 12,2014,14418164,1957396,300507,17402605,0,0,0,0,24376696,3691350,1582286,862547,68170381
University of Kansas,Big 12,2004,10274733,957503,321000,29722646,0,0,1748600,710061,7684460,2154453,823356,158998,59327117
University of Kansas,Big 12,2014,20083624,1080061,733481,28952472,0,0,1484313,0,22369558,6855577,1423576,5750909,97681066
Kansas State University,Big 12,2004,12668071,566752,0,10196449,0,1262072,0,0,9659482,1120900,1450447,1229903,40731865
Kansas State University,Big 12,2014,15654798,500695,25875,18492032,0,0,0,847226,24714979,3870500,2913193,2276302,72935044
University of Kentucky,Southeastern,2004,19934271,605687,1914730,7335243,0,0,0,0,9986374,3561990,1612159,6064204,53834608
University of Kentucky,Southeastern,2014,32793626,861548,821871,19058601,0,0,0,0,22041506,8864862,3255776,5900837,96685489
Louisiana State University,Southeastern,2004,22172215,0,1193500,6927617,245000,0,0,0,12095175,2337274,4903306,2281958,53983888
Louisiana State University,Southeastern,2014,37686975,0,3041000,49333582,852827,0,0,0,22886852,6984591,6711092,3437777,133679256
"University of Maryland, College Park",Atlantic Coast,2004,8934004,7191842,1609754,7666813,225000,0,23044,0,9489975,0,1749293,3393857,40697156
"University of Maryland, College Park",Big Ten,2014,13442584,11315001,456423,11225922,0,0,6806112,0,19038856,0,1347979,9038376,73434869
